NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
ZCTA5 06390,,,,0.0,55.0,
ZCTA5 10001,,,,2633.0,5705.0,
ZCTA5 10002,,,,15332.0,11687.0,
ZCTA5 10003,,,,5617.0,16443.0,
ZCTA5 10004,,,,343.0,932.0,
ZCTA5 10005,,,,1100.0,1652.0,
ZCTA5 10006,,,,556.0,971.0,
ZCTA5 10007,,,,1067.0,1688.0,
ZCTA5 10009,,,,7782.0,15946.0,
ZCTA5 10010,,,,3128.0,9215.0,
ZCTA5 10011,,,,5038.0,16756.0,
ZCTA5 10012,,,,3086.0,8289.0,
ZCTA5 10013,,,,4220.0,5555.0,
ZCTA5 10014,,,,2928.0,11546.0,
ZCTA5 10016,,,,7164.0,18284.0,
ZCTA5 10017,,,,2587.0,5729.0,
ZCTA5 10018,,,,1240.0,1323.0,
ZCTA5 10019,,,,6896.0,12489.0,
ZCTA5 10020,,,,0.0,0.0,
ZCTA5 10021,,,,3848.0,13592.0,
ZCTA5 10022,,,,3560.0,10446.0,
ZCTA5 10023,,,,6702.0,16170.0,
ZCTA5 10024,,,,5982.0,15922.0,
ZCTA5 10025,,,,12258.0,20329.0,
ZCTA5 10026,,,,4662.0,5307.0,
ZCTA5 10027,,,,9307.0,7020.0,
ZCTA5 10028,,,,4168.0,13777.0,
ZCTA5 10029,,,,12683.0,7052.0,
ZCTA5 10030,,,,4794.0,3204.0,
ZCTA5 10031,,,,13913.0,6957.0,
ZCTA5 10032,,,,18445.0,5453.0,
ZCTA5 10033,,,,15107.0,6887.0,
ZCTA5 10034,,,,11816.0,5758.0,
ZCTA5 10035,,,,5816.0,3094.0,
ZCTA5 10036,,,,4218.0,6651.0,
ZCTA5 10037,,,,1267.0,2496.0,
ZCTA5 10038,,,,2789.0,3683.0,
ZCTA5 10039,,,,3622.0,2455.0,
ZCTA5 10040,,,,10715.0,5985.0,
ZCTA5 10044,,,,3427.0,1810.0,
ZCTA5 10065,,,,3426.0,10272.0,
ZCTA5 10069,,,,761.0,2057.0,
ZCTA5 10075,,,,2169.0,8774.0,
ZCTA5 10103,,,,0.0,0.0,
ZCTA5 10110,,,,0.0,0.0,
ZCTA5 10111,,,,0.0,0.0,
ZCTA5 10112,,,,0.0,0.0,
ZCTA5 10115,,,,0.0,0.0,
ZCTA5 10119,,,,0.0,0.0,
ZCTA5 10128,,,,6456.0,17157.0,
ZCTA5 10152,,,,0.0,0.0,
ZCTA5 10153,,,,0.0,0.0,
ZCTA5 10154,,,,0.0,0.0,
ZCTA5 10162,,,,64.0,561.0,
ZCTA5 10165,,,,0.0,0.0,
ZCTA5 10167,,,,0.0,0.0,
ZCTA5 10168,,,,0.0,0.0,
ZCTA5 10169,,,,0.0,0.0,
ZCTA5 10170,,,,0.0,0.0,
ZCTA5 10171,,,,0.0,0.0,
ZCTA5 10172,,,,0.0,0.0,
ZCTA5 10173,,,,0.0,0.0,
ZCTA5 10174,,,,0.0,0.0,
ZCTA5 10177,,,,0.0,0.0,
ZCTA5 10199,,,,0.0,0.0,
ZCTA5 10271,,,,0.0,0.0,
ZCTA5 10278,,,,0.0,0.0,
ZCTA5 10279,,,,0.0,0.0,
ZCTA5 10280,,,,1462.0,2558.0,
ZCTA5 10282,,,,1555.0,1409.0,
ZCTA5 10301,,,,4346.0,4660.0,
ZCTA5 10302,,,,2942.0,1385.0,
ZCTA5 10303,,,,2826.0,2032.0,
ZCTA5 10304,,,,6510.0,4491.0,
ZCTA5 10305,,,,4722.0,5237.0,
ZCTA5 10306,,,,3421.0,6799.0,
ZCTA5 10307,,,,324.0,1665.0,
ZCTA5 10308,,,,749.0,3539.0,
ZCTA5 10309,,,,924.0,3458.0,
ZCTA5 10310,,,,2337.0,2644.0,
ZCTA5 10311,,,,0.0,0.0,
ZCTA5 10312,,,,1551.0,7508.0,
ZCTA5 10314,,,,5676.0,11087.0,
ZCTA5 10451,,,,7989.0,2372.0,
ZCTA5 10452,,,,20641.0,2655.0,
ZCTA5 10453,,,,20838.0,3498.0,
ZCTA5 10454,,,,7628.0,1485.0,
